state,year,quarter,count,amount,avg_transaction_value
Tamil Nadu,2024,1,111521,148976175.0,1335.8575963271492
Chandigarh,2024,2,1798,3177315.0,1767.1384872080089
Chandigarh,2024,3,1991,3445738.0,1730.6569563033652
Chandigarh,2024,4,2095,3729932.0,1780.397136038186
Chandigarh,2024,1,1730,3143984.0,1817.3317919075143
West Bengal,2024,2,67048,89476633.0,1334.5160631189597
West Bengal,2024,3,77158,107451766.0,1392.6198968350657
West Bengal,2024,4,91719,120602777.0,1314.9159607060697
West Bengal,2024,1,79576,104987909.0,1319.341371770383
Chhattisgarh,2024,2,15724,25935743.0,1649.4367209361485
Chhattisgarh,2024,3,16550,27724060.0,1675.1697885196375
Chhattisgarh,2024,4,22723,37421165.0,1646.8408660828236
Chhattisgarh,2024,1,19579,30083259.0,1536.5064099290055
